AppId, UserId, TimeStamp, OnBattery, ScreenOn, BatterySaverActive, LowPowerEpochActive, Foreground, InteractivityState, Container, Committed, TimeInMSec, MeasuredBitmap, EnergyLoss, CPUEnergyConsumption, SocEnergyConsumption, DisplayEnergyConsumption, DiskEnergyConsumption, NetworkEnergyConsumption, MBBEnergyConsumption, OtherEnergyConsumption, EmiEnergyConsumption, CPUEnergyConsumptionWorkOnBehalf, CPUEnergyConsumptionAttributed, TotalEnergyConsumption
\Device\HarddiskVolume5\PanGPA.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
Microsoft.Windows.Search_1.14.13.19041_neutral_neutral_cw5n1h2txyewy, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\dwm.exe, S-1-5-90-0-1, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Minimized, FALSE, TRUE, 44726, b000000000, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68
System, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 6239, 0, 0, 19197, 1350, 0, 0, 0, 92, 71, 26786
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Windows\System32\conhost.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 44726, b000000000, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
\Device\HarddiskVolume1\Windows\System32\conhost.exe, S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 44726, b000000000, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
\Device\HarddiskVolume1\Windows\System32\lsass.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 12872, 0, 0, 0, 0, 0, 0, 0, 82, 0, 12872
\Device\HarddiskVolume1\Windows\System32\services.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 43, 0, 0, 0, 0, 0, 0, 0, 26, 15, 43
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [WpnService], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 7, 0, 0, 0, 104, 0, 0, 0, 0, 0, 111
Microsoft.Windows.StartMenuExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Minimized, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Microsoft.Windows.StartMenuExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\NisSrv.exe, S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Program Files (x86)\Common Files\Tencent\QQProtect\Bin\QQProtect.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126
\Device\HarddiskVolume1\Windows\System32\wbem\unsecapp.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Program Files\MySQL\MySQL Server 8.0\bin\mysqld.exe, S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230
\Device\HarddiskVolume1\ProgramData\Microsoft\Windows Defender\Platform\4.18.24020.7-0\MsMpEng.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 175358, 0, 0, 13586, 0, 0, 0, 0, 0, 348, 188944
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [Winmgmt], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 97, 121
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [ShellHWDetection], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalService] [netprofm], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume1\Windows\System32\svchost.exe [NetworkService] [Dnscache], S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [TimeBrokerSvc], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalSystemNetworkRestricted], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNoNetwork] [DPS], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 7892, 0, 0, 688, 0, 0, 0, 0, 0, 5, 8580
\Device\HarddiskVolume1\Program Files\Apoint2K\Apoint.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
\Device\HarddiskVolume1\Windows\System32\taskhostw.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\svchost.exe [NetworkService] [DoSvc], S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 160, 0, 0, 0, 59, 0, 0, 0, 0, 0, 219
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalService] [WdiServiceHost], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\svchost.exe [NetworkService] [LanmanWorkstation], S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\svchost.exe [NetworkService] [CryptSvc], S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 10976, 0, 0, 154, 0, 0, 0, 0, 266, 0, 11130
\Device\HarddiskVolume1\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
\Device\HarddiskVolume1\Windows\System32\LPlatSvc.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
\Device\HarddiskVolume1\Windows\System32\LPlatSvc.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume1\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_fce0c2dbe15e0d9a\igfxEM.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92
\Device\HarddiskVolume1\Windows\System32\svchost.exe [ClipboardSvcGroup] [cbdhsvc], S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
\Device\HarddiskVolume1\Windows\System32\svchost.exe [UnistackSvcGroup] [CDPUserSvc], S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
\Device\HarddiskVolume1\Windows\SysWOW64\Lenovo\PowerMgr\PowerMgr.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 100, 0, 0, 2, 0, 0, 0, 0, 0, 0, 102
\Device\HarddiskVolume1\Windows\System32\svchost.exe [UnistackSvcGroup] [WpnUserService], S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 23, 0, 0, 0, 0, 0, 0, 0, 27, 0, 23
\Device\HarddiskVolume1\Windows\servicing\TrustedInstaller.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
\Device\HarddiskVolume1\Windows\System32\svchost.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
\Device\HarddiskVolume1\Windows\explorer.exe, S-1-5-21-830239001-2054536580-1826218552-500, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, Focus, FALSE, TRUE, 44726, b000000000, 0, 200, 0, 133307, 0, 0, 0, 0, 0, 10, 2, 133507
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalService] [CDPSvc], S-1-5-19, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Registry, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 9, 0, 0, 16, 0, 0, 0, 0, 0, 0, 25
\Device\HarddiskVolume1\Windows\System32\winlogon.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
\Device\HarddiskVolume1\Windows\System32\svchost.exe [netsvcs] [TokenBroker], S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\wbem\WmiPrvSE.exe, S-1-5-20, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 97, 0, 4
\Device\HarddiskVolume1\Windows\System32\ibmpmsvc.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
\Device\HarddiskVolume1\Windows\System32\SearchIndexer.exe, S-1-5-18, 2024-03-16:12:50:44.0748, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 44726, b000000000, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNoNetworkFirewall], S-1-5-19, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
\Device\HarddiskVolume1\Program Files (x86)\Common Files\Foxit\Foxit PDF Reader\FoxitPDFReaderUpdateService.exe, S-1-5-18, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 386
\Device\HarddiskVolume1\Windows\System32\svchost.exe [RPCSS], S-1-5-20, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 1, 17
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalService] [nsi], S-1-5-19, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [EventLog], S-1-5-19, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
\Device\HarddiskVolume1\Windows\System32\csrss.exe, S-1-5-18, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, Visible, FALSE, TRUE, 15270, b000000000, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
\Device\HarddiskVolume5\PanGPS.exe, S-1-5-18, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNetworkRestricted] [Dhcp], S-1-5-19, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
\Device\HarddiskVolume1\Windows\System32\svchost.exe [DcomLaunch], S-1-5-18, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 41, 0, 0, 0, 0, 0, 0, 0, 77, 0, 41
\Device\HarddiskVolume1\Windows\System32\svchost.exe [NetworkService] [NlaSvc], S-1-5-20, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
\Device\HarddiskVolume1\Windows\System32\svchost.exe [LocalServiceNoNetwork], S-1-5-19, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
System Interrupts, S-1-5-18, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 15270, b000000000, 0, 1867, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 3234
Unknown, S-1-5-18, 2024-03-16:12:51:00.0000, FALSE, FALSE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 0, b000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
